County,Rec_Budget Estimates,Dev_Budget Estimates,Total_Budget Estimates,Rec_Expenditure ,Dev_Expenditure ,Total_Expenditure ,Recurrent Absorption Rate (%),Development Absorption Rate (%),Overall Absorption Rate,FYear,CID
Isiolo,2316.97,1429.46,3746.42,2200.22,1266.24,3466.45,95.00,88.60,92.50,2016-2017,11
Kajiado,4354.48,2655.90,7010.38,3811.52,1250.40,5061.92,87.50,47.10,72.20,2016-2017,34
Kakamega,6044.61,6325.15,12369.76,5636.36,5208.76,10845.12,93.20,82.40,87.70,2016-2017,37
Kericho,3854.29,2444.66,6298.95,3578.22,2022.50,5600.72,92.80,82.70,88.90,2016-2017,35
Kiambu,8806.63,3592.52,12399.15,8301.08,2510.49,10811.57,94.30,69.90,87.20,2016-2017,22
Kilifi,6502.05,6830.75,13332.80,5711.10,4473.13,10184.22,87.80,65.50,76.40,2016-2017,3
Kirinyaga,3369.02,1875.84,5244.86,3163.04,1083.54,4246.58,93.90,57.80,81.00,2016-2017,20
Kisii,6361.32,3709.21,10070.53,5970.72,2014.89,7985.61,93.90,54.30,79.30,2016-2017,45
Kisumu,6230.62,3164.60,9395.21,4855.29,1982.57,6837.85,77.90,62.60,72.80,2016-2017,42
Kitui,5750.30,5220.10,10970.41,4625.95,3688.65,8314.60,80.40,70.70,75.80,2016-2017,15
Kwale,4326.16,3622.35,7948.51,3803.95,2056.69,5860.63,87.90,56.80,73.70,2016-2017,2
Laikipia,3500.27,2466.22,5966.49,3163.58,1547.09,4710.67,90.40,62.70,79.00,2016-2017,31
Lamu,1991.54,1219.72,3211.26,1526.22,467.34,1993.56,76.60,38.30,62.10,2016-2017,5
Machakos,7508.05,3373.91,10881.96,5805.22,3343.57,9148.79,77.30,99.10,84.10,2016-2017,16
Makueni,5154.66,5497.78,10652.44,4885.98,4036.53,8922.50,94.80,73.40,83.80,2016-2017,17
Mandera,4789.97,7238.82,12028.79,4365.46,5831.48,10196.94,91.10,80.60,84.80,2016-2017,9
Marsabit,3609.18,3210.00,6819.18,3349.74,2791.75,6141.49,92.80,87.00,90.10,2016-2017,10
Meru,6924.21,3216.89,10141.10,6105.03,2238.99,8344.02,88.20,69.60,82.30,2016-2017,12
Migori,4749.07,2981.63,7730.69,3949.18,1869.61,5818.79,83.20,62.70,75.30,2016-2017,44
Mombasa,7657.84,3989.86,11647.70,6390.49,2743.15,9133.63,83.50,68.80,78.40,2016-2017,1
MurangÍa,4707.53,3505.29,8212.82,4394.89,2037.43,6432.31,93.40,58.10,78.30,2016-2017,21
Nairobi,23460.81,11324.05,34784.86,21078.91,3779.73,24858.64,89.80,33.40,71.50,2016-2017,47
Nakuru,9251.15,5839.40,15090.55,8613.38,2049.83,10663.21,93.10,35.10,70.70,2016-2017,32
Nandi,4377.21,2526.11,6903.32,3497.04,1803.76,5300.80,79.90,71.40,76.80,2016-2017,29
Narok,5682.88,3396.67,9079.55,5323.29,2150.67,7473.96,93.70,63.30,82.30,2016-2017,33
Nyamira,3938.16,1670.90,5609.06,3522.39,979.21,4501.60,89.40,58.60,80.30,2016-2017,46
Nyandarua,3722.63,1945.50,5668.12,3320.30,1642.72,4963.02,89.20,84.40,87.60,2016-2017,18
Nyeri,4977.49,2304.91,7282.40,4464.40,1220.70,5685.09,89.70,53.00,78.10,2016-2017,19
Samburu,3206.18,1462.13,4668.31,2903.56,1263.84,4167.40,90.60,86.40,89.30,2016-2017,25
Siaya,3917.08,3153.25,7070.33,3646.81,1983.35,5630.16,93.10,62.90,79.60,2016-2017,41
Taita Taveta,3240.52,1415.92,4656.44,2979.38,405.65,3385.03,91.90,28.60,72.70,2016-2017,6
Tana River,2227.56,2357.66,4585.21,1767.24,1779.13,3546.37,79.30,75.50,77.30,2016-2017,4
Tharaka Nithi,2686.75,1273.16,3959.90,2227.13,546.72,2773.84,82.90,42.90,70.00,2016-2017,13
Trans Nzoia,4224.48,2650.52,6875.00,4293.25,1711.19,6004.44,101.60,64.60,87.30,2016-2017,26
Turkana,5487.83,8878.12,14365.95,5031.50,6159.91,11191.41,91.70,69.40,77.90,2016-2017,23
Uasin Gishu,5042.94,2676.15,7719.09,4134.22,1460.35,5594.56,82.00,54.60,72.50,2016-2017,27
Vihiga,3529.59,1511.05,5040.64,2925.55,793.12,3718.68,82.90,52.50,73.80,2016-2017,38
Wajir,4588.44,4093.50,8681.95,4559.41,3688.78,8248.19,99.40,90.10,95.00,2016-2017,8
West Pokot,3414.26,1832.13,5246.39,3238.44,1565.65,4804.09,94.90,85.50,91.60,2016-2017,24
Baringo,4245.69,2713.70,6959.39,4214.92,987.44,5202.36,99.30,36.40,74.80,2017-2018,30
Bomet,4377.78,1864.13,6241.91,4074.41,873.54,4947.94,93.10,46.90,79.30,2017-2018,36
Bungoma,7689.80,3563.59,11253.39,7123.60,1507.06,8630.66,92.60,42.30,76.70,2017-2018,39
Busia,5059.61,2389.41,7449.02,4730.26,1078.18,5808.44,93.50,45.10,78.00,2017-2018,40
Elgeyo Marakwet,3006.92,1937.77,4944.69,2921.05,948.90,3869.95,97.10,49.00,78.30,2017-2018,28
Embu,4318.08,1847.16,6165.24,3971.86,1090.53,5062.39,92.00,59.00,82.10,2017-2018,14
Garissa,5600.12,2368.93,7969.05,5507.07,1012.26,6519.33,98.30,42.70,81.80,2017-2018,7
Homa Bay,5049.12,2519.87,7568.99,4067.27,1078.23,5145.50,80.60,42.80,68.00,2017-2018,43
Isiolo,2768.51,1572.29,4340.81,2251.91,1138.42,3390.33,81.30,72.40,78.10,2017-2018,11
Kajiado,5003.92,3184.09,8188.01,3936.65,1185.16,5121.81,78.70,37.20,62.60,2017-2018,34
Kakamega,7280.88,5624.39,12905.26,6664.04,3879.96,10544.00,91.50,69.00,81.70,2017-2018,37
Kericho,4499.68,2040.79,6540.46,4180.28,996.25,5176.53,92.90,48.80,79.10,2017-2018,35
Kiambu,9810.82,2774.74,12585.56,8929.99,1833.63,10763.62,91.00,66.10,85.50,2017-2018,22
Kilifi,7858.07,4268.84,12126.91,6406.26,3121.95,9528.21,81.50,73.10,78.60,2017-2018,3
Kirinyaga,3985.80,1709.20,5695.00,3871.06,722.27,4593.34,97.10,42.30,80.70,2017-2018,20
Kisii,7534.27,3363.08,10897.35,6681.75,1901.23,8582.98,88.70,56.50,78.80,2017-2018,45
Kisumu,6376.83,2837.89,9214.72,5758.33,669.36,6427.69,90.30,23.60,69.80,2017-2018,42
Kitui,6688.21,4555.14,11243.35,5845.59,3281.01,9126.61,87.40,72.00,81.20,2017-2018,15
Kwale,5202.14,4113.35,9315.49,4444.79,2143.28,6588.07,85.40,52.10,70.70,2017-2018,2
Laikipia,3816.13,1890.37,5706.50,3791.36,1011.32,4802.68,99.40,53.50,84.20,2017-2018,31
Lamu,2009.12,1009.94,3019.06,1699.75,361.27,2061.02,84.60,35.80,68.30,2017-2018,5
Machakos,7010.71,3067.81,10078.52,6380.61,1021.77,7402.38,91.00,33.30,73.40,2017-2018,16
Makueni,6095.39,3579.50,9674.90,5591.49,1603.30,7194.78,91.70,44.80,74.40,2017-2018,17
Mandera,6471.92,5774.94,12246.86,5644.55,3892.28,9536.83,87.20,67.40,77.90,2017-2018,9
Marsabit,4296.49,3434.38,7730.88,4027.18,2540.47,6567.66,93.70,74.00,85.00,2017-2018,10
Meru,7521.37,3218.18,10739.55,5987.70,812.69,6800.38,79.60,25.30,63.30,2017-2018,12
Migori,5469.84,2697.06,8166.90,4084.71,1848.99,5933.70,74.70,68.60,72.70,2017-2018,44
Mombasa,8808.50,3825.95,12634.45,7393.74,2908.11,10301.86,83.90,76.00,81.50,2017-2018,1
Muranga,5284.32,3033.93,8318.24,4369.13,2199.00,6568.13,82.70,72.50,79.00,2017-2018,21
Nairobi,25284.30,8365.39,33649.69,22362.22,2179.31,24541.53,88.40,26.10,72.90,2017-2018,47
Nakuru,9947.60,6151.33,16098.93,7977.11,1576.63,9553.74,80.20,25.60,59.30,2017-2018,32
Nandi,4693.02,2154.91,6847.93,4079.13,716.92,4796.04,86.90,33.30,70.00,2017-2018,29
Narok,6515.50,3290.13,9805.63,6321.54,1928.02,8249.56,97.00,58.60,84.10,2017-2018,33
Nyamira,4222.90,1888.80,6111.70,3703.45,527.66,4231.12,87.70,27.90,69.20,2017-2018,46
Nyandarua,4079.94,2025.24,6105.18,3649.34,895.38,4544.72,89.40,44.20,74.40,2017-2018,18
Nyeri,5471.57,2489.53,7961.11,4506.03,1140.32,5646.34,82.40,45.80,70.90,2017-2018,19
Samburu,3379.31,1453.35,4832.66,3038.00,549.02,3587.02,89.90,37.80,74.20,2017-2018,25
Siaya,4299.05,2546.29,6845.34,3333.46,777.57,4111.03,77.50,30.50,60.10,2017-2018,41
Taita Taveta,3892.92,1631.48,5524.40,3131.10,206.45,3337.56,80.40,12.70,60.40,2017-2018,6
Tana River,3400.44,2513.32,5913.76,2258.28,918.61,3176.89,66.40,36.50,53.70,2017-2018,4
Tharaka Nithi,3036.06,1596.18,4632.23,2570.41,1080.39,3650.80,84.70,67.70,78.80,2017-2018,13
Trans Nzoia,4632.20,1996.33,6628.53,3137.98,1077.21,4215.20,67.70,54.00,63.60,2017-2018,26
Turkana,6799.83,4164.92,10964.75,6185.97,1944.93,8130.91,91.00,46.70,74.20,2017-2018,23
Uasin Gishu,5020.83,3041.31,8062.14,4732.21,1597.04,6329.25,94.30,52.50,78.50,2017-2018,27
Vihiga,3882.05,1699.58,5581.63,2407.91,297.47,2705.38,62.00,17.50,48.50,2017-2018,38
Wajir,5689.22,3673.09,9362.31,5572.01,842.54,6414.55,97.90,22.90,68.50,2017-2018,8
West Pokot,3930.26,1718.85,5649.11,3426.57,983.31,4409.88,87.20,57.20,78.10,2017-2018,24
